Filename,Movement Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0001.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0002.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0003.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0004.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0005.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0006.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0007.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0008.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0009.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0010.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0011.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0012.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0013.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0014.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0015.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0016.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0017.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0018.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0019.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0020.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0021.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0022.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0023.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0024.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0025.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0026.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0027.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0028.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0029.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0030.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0031.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0032.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0033.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0034.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0035.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0036.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0037.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0038.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0039.AVI,True
